cluster_id,silhouette,rating,global_silhouette,davies_bouldin,noise_pct
0,0.8602,GOOD,0.5885,0.8348,90.0
1,0.4102,GOOD,0.5885,0.8348,90.0
2,0.567,GOOD,0.5885,0.8348,90.0
3,0.3751,GOOD,0.5885,0.8348,90.0
4,0.3922,GOOD,0.5885,0.8348,90.0
5,0.1781,OK,0.5885,0.8348,90.0
6,0.6609,GOOD,0.5885,0.8348,90.0
7,0.8295,GOOD,0.5885,0.8348,90.0
8,0.3219,GOOD,0.5885,0.8348,90.0
9,0.6614,GOOD,0.5885,0.8348,90.0
10,0.5242,GOOD,0.5885,0.8348,90.0
11,0.5871,GOOD,0.5885,0.8348,90.0
12,0.6147,GOOD,0.5885,0.8348,90.0
13,0.8069,GOOD,0.5885,0.8348,90.0
14,0.6174,GOOD,0.5885,0.8348,90.0
15,0.6099,GOOD,0.5885,0.8348,90.0
16,0.5986,GOOD,0.5885,0.8348,90.0
17,0.3589,GOOD,0.5885,0.8348,90.0
18,0.3374,GOOD,0.5885,0.8348,90.0
19,0.6538,GOOD,0.5885,0.8348,90.0
20,0.6072,GOOD,0.5885,0.8348,90.0
21,0.6811,GOOD,0.5885,0.8348,90.0
22,0.5576,GOOD,0.5885,0.8348,90.0
23,0.7085,GOOD,0.5885,0.8348,90.0
24,0.7243,GOOD,0.5885,0.8348,90.0
25,0.3544,GOOD,0.5885,0.8348,90.0
26,0.6737,GOOD,0.5885,0.8348,90.0
27,0.4892,GOOD,0.5885,0.8348,90.0
28,0.5832,GOOD,0.5885,0.8348,90.0
29,0.7217,GOOD,0.5885,0.8348,90.0
30,0.6063,GOOD,0.5885,0.8348,90.0
31,0.3778,GOOD,0.5885,0.8348,90.0
32,0.605,GOOD,0.5885,0.8348,90.0
33,0.7279,GOOD,0.5885,0.8348,90.0
34,1.0,GOOD,0.5885,0.8348,90.0
35,1.0,GOOD,0.5885,0.8348,90.0
36,0.4514,GOOD,0.5885,0.8348,90.0
37,0.6636,GOOD,0.5885,0.8348,90.0
38,0.3011,GOOD,0.5885,0.8348,90.0
